question,Doc,Topic,Probability
What is considered a business expense on a business trip?,0,31,0.5105741620063782
Claiming business expenses for a business with no income,1,18,0.9364439249038696
Transferring money from One business checking to another business checking,2,22,0.9464533925056458
"Having a separate bank account for business/investing, but not a “business account?”",3,22,0.9537400603294373
Business Expense - Car Insurance Deductible For Accident That Occurred During a Business Trip,4,27,0.9592664241790771
Starting a new online business,5,22,0.4535147249698639
“Business day” and “due date” for bills,6,22,0.7239223122596741
New business owner - How do taxes work for the business vs individual?,7,22,0.9537377953529358
How to deposit a cheque issued to an associate in my business into my business account?,8,22,0.6219386458396912
Hobby vs. Business,9,22,0.7481362819671631
Personal checks instead of business ones,10,27,0.9364370703697205
Does U.S. tax code call for small business owners to count business purchases as personal income?,11,18,0.441363662481308
How can I register a UK business without providing a business address?,12,22,0.9364284873008728
What are 'business fundamentals'?,13,22,0.8552390336990356
Can I send a money order from USPS as a business?,14,22,0.7244893312454224
Business Investment Loss from prior year,15,18,0.9218316078186035
Income tax exemptions for small business?,16,18,0.637427031993866
1 EIN doing business under multiple business names,17,27,0.626872718334198
How can I estimate business taxes / filing fees for a business that has $0 income?,18,22,0.5196540355682373
Would the purchase of a car for a business through the use of a business loan be considered a business expense?,19,27,0.8721542954444885
Deducting last years (undocumented) side business loss,20,18,0.953726053237915
30% share in business,21,15,0.44957202672958374
Claiming business expense from personal credit card,22,18,0.42543312907218933
Applying for and receiving business credit,23,20,0.6023370027542114
Using business check to pay at retail,24,27,0.9364372491836548
Tax whilst starting a business in full time employment,25,18,0.6047309041023254
Do I need a business credit card?,26,20,0.5144232511520386
Can I pay off my credit card balance to free up available credit?,27,20,0.6005712151527405
Starting a side business slowly,28,22,0.5234662294387817
Why is “cheque cashing” a legitimate business?,29,21,0.9218114614486694
Is business the only way to become a millionaire?,30,16,0.6036680936813354
401k Transfer After Business Closure,31,22,0.8984703421592712
Valuing a small business to invest in ,32,22,0.5703350305557251
Starting a large business with a not so large income? ,33,0,0.4087774157524109
Requirements for filing business taxes?,34,22,0.9218160510063171
Personal credit card for business expenses,35,20,0.5970701575279236
IRA for work and my business,36,22,0.8553157448768616
What are the ins/outs of writing equipment purchases off as business expenses in a home based business?,37,27,0.8345057368278503
Advice on money transfer business,38,22,0.9218332171440125
Borrow money to invest in a business venture with equity?,39,1,0.5792251825332642
How to transfer personal auto lease to business auto lease?,40,27,0.7210120558738708
Tutoring Business Payroll Management,41,0,0.8984733819961548
"As a small business owner, should I pay my taxes from my personal or business checking account?",42,22,0.8460289239883423
Should my husband's business pay my business?,43,27,0.9218162298202515
Why can't online transactions be completed outside of business hours?,44,22,0.555839478969574
Full-time work + running small side business: Best business structure for taxes?,45,22,0.8560384511947632
"New vending route business, not sure how to determine taxes",46,22,0.6875426769256592
Finding a good small business CPA?,47,26,0.5092573761940002
Taxable income on full-time job + business earnings,48,22,0.32559934258461
What's “wrong” with taking money from your own business?,49,22,0.5774680376052856
Can a entrepreneur hire a self-employed business owner?,50,22,0.9364222288131714
How can I lookup the business associated with a FEIN?,51,22,0.8552488088607788
Tax Allocation - Business Asset Transfer,52,22,0.43420854210853577
Can Health-Releated Services be a Business Expense?,53,20,0.6019899249076843
How to Deduct Family Health Care Premiums Under Side Business,54,22,0.9464423656463623
Claiming car as a business expense in the UK,55,18,0.4646926820278168
Do I need to keep paper records for my business?,56,27,0.9364426136016846
1040 Schedule A Un-Reimbursed Business Expense Reporting,57,19,0.6604931354522705
Why do banks require small businesses to open a business bank account instead of a cheaper personal one?,58,22,0.9700424671173096
"How to treat miles driven to the mechanic, gas station, etc when calculating business use of car?",59,27,0.8187562823295593
value of guaranteeing a business loan,60,27,0.6648976802825928
Intentions of Deductible Amount for Small Business,61,22,0.9364294409751892
Deducting business expenses paid for by gift card,62,18,0.4551510214805603
"Car as business expense, but not because of driving",63,27,0.9218161106109619
Can a business refuse to take credit cards?,64,27,0.5046670436859131
Calculate Estimated Tax on Hobby Business LLC,65,18,0.9218214750289917
Buying car from rental business without title,66,27,0.7450959086418152
Why should I choose a business checking account instead of a personal account?,67,22,0.823581874370575
How to report house used for 100% business?,68,27,0.8553134799003601
Can the IRS freeze a business Bank account?,69,22,0.7481473088264465
"How to record business income tax paid, in QuickBooks?",70,27,0.5340390205383301
Get a loan with low interest rate on small business,71,34,0.48365744948387146
Does revenue equal gross profit for info product business?,72,32,0.9537214636802673
Will unpaid taxes prevent me from getting a business license?,73,5,0.541432797908783
Using cash back rewards from business credit card,74,20,0.5117127299308777
Moving my online only business to the USA?,75,22,0.6047298908233643
Moving a personal business to a LLC accounting in California,76,22,0.6991134881973267
What should one look for when opening a business bank account?,77,22,0.7764127850532532
Which r in perpetuity formula to pricing a business?,78,19,0.5856808423995972
How can I deposit a check made out to my business into my personal account?,79,22,0.946454644203186
Filing personal with 1099s versus business s-corp?,80,0,0.4380223751068115
US Double Taxation - Business Trips and the Foreign Tax Credit,81,18,0.65714031457901
Can I use my Roth IRA to start a business?,82,27,0.589972734451294
Really have to use business credit card for personal expenses ,83,27,0.37404677271842957
Using credit card points to pay for tax deductible business expenses,84,27,0.39252984523773193
Do Affordable Care Act business requirements apply to “control groups?”,85,18,0.9464317560195923
"As a contractor, TurboTax Business-and-Home or Basic?",86,27,0.9364204406738281
Peer to peer lending business model (i.e. Lending Club),87,11,0.9364317059516907
"How can I make $250,000.00 from trading/investing/business within 5 years? ",88,22,0.6921818852424622
In what cases can a business refuse to take cash?,89,27,0.9364425539970398
Maintaining “Woman Owned Business” while taking on investor,90,6,0.5450390577316284
Investing/business with other people's money: How does it work?,91,22,0.9364475607872009
How to safely earn interest on business profits (UK) ,92,22,0.4671759009361267
What approaches are there for pricing a small business?,93,22,0.5038377642631531
Income tax on my online drop-shipping business (India),94,18,0.6306349635124207
How to find a business consultant that would ensure that all your business activities are legal and compliant with all regulations?,95,27,0.8112072944641113
How to account for money earned and spent prior to establishing business bank accounts?,96,22,0.9636297821998596
How to determine how much to charge your business for rent (in your house)?,97,7,0.7239578366279602
Dual Citizen British/US and online business taxes,98,22,0.9364331960678101
Will my wife's business losses offset my income on a joint tax return?,99,18,0.9592757821083069
Do I need a Like-Kind Exchange when selling a personal vehicle for a company car,100,27,0.4786323010921478
What forms do I need to fill out for a super basic LLC closing?,101,18,0.7499719858169556
Why are earning credit card rewards often tied to groceries and gas?,102,20,0.9592708945274353
1099 versus corporation to corporation for payments?,103,18,0.748144805431366
Why do most banks in Canada charge monthly fee?,104,13,0.8984907269477844
"Do I need to register as self employed in Ontario, Canada?",105,22,0.7481427192687988
"Why do credit card transactions take up to 3 days to appear, yet debit transactions are instant?",106,20,0.8825817108154297
Why do VAT-registered businesses in the EU charge VAT to each other?,107,22,0.5624549984931946
How To Report Cryptocurrency Earnings?,108,32,0.8984939455986023
"Allocation between 401K/retirement accounts and taxable investments, as a young adult?",109,10,0.4676355719566345
Income Tax form in India for freelancing,110,18,0.9218354821205139
What is bespoke insurance?,111,27,0.8552420735359192
Should I be filling out form W-9 for somebody I sold used equipment to?,112,18,0.5284499526023865
Where I am I liable for taxes?,113,22,0.8552893400192261
Can I Accept Gold?,114,12,0.8553025722503662
Can a company have a credit rating better than that of the country where it is located?,115,20,0.41372397541999817
Do I owe taxes in the US for my LLC formed in the US but owned by an Indian citizen?,116,18,0.8984928727149963
How would IRS treat reimbursement in a later year of moving expenses?,117,27,0.8001875877380371
Transfer $70k from Wells Fargo (US) to my other account at a Credit Union bank,118,22,0.8552418351173401
"I have $100,000 in play money… what to do?",119,22,0.8552785515785217
"Is it possible, anywhere in the US for a funding firm to not have a license number showing somewhere? ",120,19,0.4452543258666992
How to deduct operational loss from my personal income tax?,121,18,0.7745006680488586
Can my company buy my personal debt?,122,25,0.25822803378105164
Need small buisness ideas with 100k $ budjet in a 3rd world country ,123,27,0.4830545485019684
Tax Write-offs and knowing how much I need to spend before the end of the year,124,27,0.45355427265167236
Loan holder wants a check from the insurance company that I already cashed and used to repair my car,125,27,0.8726148009300232
What is the difference between a bond and a debenture?,126,7,0.8984947204589844
Is a 10 year old uncashed paycheck still good?,127,26,0.9218130707740784
I started some small businesses but need help figuring out taxes. Should I hire a CPA?,128,22,0.6424736380577087
Is Mint allowed to share user data with other Intuit entities?,129,15,0.9464326500892639
Financially Shielded Entity Separating Individuals Behind It From Risks,130,16,0.946436882019043
Forgot to renew Fictitious Name application within the county. What is the penalty for late filing?,131,27,0.9636161923408508
Do I need a new EIN since I am hiring employees for my LLC?,132,18,0.9218255877494812
Help: Being charged interest on a loan for which I received no statements telling me of this debt for the past 15 years. Surprise!,133,27,0.6389079689979553
Section 179 vs depreciation of laptop,134,3,0.8984276056289673
Process for dissolving a recently-opened Colorado LLC?,135,20,0.9218063354492188
Ethics and investment,136,0,0.02857142873108387
What type of insurance would protect you against the Amazon 1p bug?,137,27,0.5489663481712341
"How important is disability insurance, e.g. long-term, LTD? Employer offers none",138,8,0.9364269971847534
What's a Letter of Credit? Are funds held in my bank for the amount in question?,139,20,0.282155305147171
Paying restaurants in cash instead of credit card - how signficant is this?,140,27,0.5727967619895935
How to acquire assets without buying them? ,141,25,0.5580289959907532
Is it taxable if someone return me money?,142,18,0.30562013387680054
Capitalize on a falling INR,143,12,0.8984653949737549
How to have a small capital investment in US if I am out of the country?,144,17,0.45434749126434326
Professional tax for employees - startup in India,145,18,0.9218164086341858
Do I owe taxes if my deductions are higher than my income?,146,18,0.6922850012779236
What increases your chance of being audited?,147,7,0.898478090763092
Why are U.S. credit unions not open to everyone?,148,20,0.8985001444816589
Car expense deductions with multiple work locations,149,18,0.7574006915092468
Formation of S-Corp for Gambling Trade,150,22,0.7481458187103271
Should I file taxes or Incorperate a personal project?,151,22,0.9364264011383057
Do Square credit card readers allow for personal use?,152,20,0.9537305235862732
Differences in taxes paid for W2 employee vs. 1099 contractor working on sites like ODesk.com?,153,22,0.6723474860191345
"If I invest in a company that goes bankrupt, is that a gain or a loss?",154,17,0.921837329864502
Getting financial advice: Accountant vs. Investment Adviser vs. Internet/self-taught?,155,14,0.8071314692497253
Privacy preferences on creditworthiness data,156,19,0.8984560966491699
Have plenty of cash flow but bad credit,157,20,0.8984799385070801
static data for mutual funds/hedge funds,158,19,0.9464495182037354
How does Robinhood stock broker make money?,159,25,0.5347630977630615
Credit Card Approval,160,20,0.898489773273468
When should I start an LLC for my side work?,161,22,0.5873278975486755
Can I open a personal bank account with an EIN instead of SSN?,162,20,0.455416202545166
Why are bank transactions not instant?,163,20,0.8984957933425903
What is network marketing? ,164,0,0.02857142873108387
Can I claim mileage for traveling to a contract position?,165,6,0.5173423290252686
"When an investor makes money on a short, who loses the money?",166,22,0.631304919719696
financial institution wants share member break down for single member LLC,167,18,0.4521195888519287
Excessive Credit Check from Comcast,168,20,0.9218087196350098
Deposit a cheque in an alternative name into a personal bank account (Australia),169,27,0.7481337785720825
why if change manufacturing of a product not change the price for the buyer? ,170,29,0.9464394450187683
"I'm self-employed with my own LLC. How should I pay myself, given my situation?",171,27,0.5113130807876587
Form 1042-S for foreign resident and owner of trade account,172,22,0.628629744052887
Under specific conditions can I write off Spotify or other streaming audio services?,173,8,0.722877025604248
"File bankruptcy, consolidate, or other options?",174,26,0.6633631587028503
Are companies in California obliged to provide invoices?,175,17,0.9217945337295532
Obtaining Private Prospectuses,176,17,0.8984420299530029
What amount of money can a corporation spend on entertainment,177,22,0.8984843492507935
Estimated Taxes Fall Short of tax liability — how do I pay extra online (Federal and NYS),178,22,0.4560147523880005
Sole proprietorship or LLC?,179,18,0.8552698493003845
why is buying trading-stock from cash not regarded as an expense? ,180,25,0.619908332824707
Does being involved in the management of a corporation make me ineligible for a workshare program?,181,22,0.9464252591133118
Do I only have to pay income tax on capital gains?,182,18,0.6018043756484985
how to show income from paypal as export income,183,18,0.9218220114707947
"Renting out rooms in my home, what's the proper way to deal with utilities for tax purposes?",184,18,0.41547006368637085
How do I treat the income from an ESPP I sold now that I am a non-resident alien?,185,18,0.5974186062812805
Should I keep copies of my business's invoices for tax records?,186,27,0.5279954075813293
Ways to invest my saved money in Germany in a halal way?,187,22,0.8985064625740051
"My company owed taxes for many years, An accountant asked me to ignore it and register a new one. Is it a right thing to do?",188,27,0.537691593170166
Tax planning for Indian TDS on international payments,189,18,0.9218306541442871
Can I deduct my individual Health Insurance Premium in Tax,190,18,0.8984962701797485
Tax deductions on car and/or home?,191,27,0.46420949697494507
What happens to your spouse's sole proprietorship if they die?,192,2,0.9218074083328247
Are banks really making less profit when interest rates are low? ,193,22,0.4291260242462158
Why would a company care about the price of its own shares in the stock market?,194,25,0.4654461443424225
Deducting SEP-IRA contributions as a sole proprietor with no employees,195,18,0.9218255281448364
What percentage of my company should I have if I only put money?,196,17,0.4473717510700226
Is the repayment of monies loaned to my company considered income?,197,27,0.31357431411743164
Where to request ACH Direct DEBIT of funds from MY OWN personal bank account?,198,22,0.5132835507392883
How can Schwab afford to refund all my ATM fees?,199,13,0.8552768230438232
UK companies house - what can I glean from an abbreviated balance sheet?,200,0,0.02857142873108387
How much accounting knowledge is needed to read financial statements of publicly traded companies?,201,14,0.7595025300979614
US Self-Employment Tax: Do expenses stack with the 50% SE deduction?,202,18,0.9218202233314514
"I am under 18 years old, in the US, my parents have terrible credit, how can I take out a loan?",203,27,0.7969396114349365
UK limited company and personal bank account ,204,22,0.43296387791633606
Does receiving a 1099-MISC require one to file a tax return even if he normally would not be required to file?,205,18,0.8800325989723206
US taxes and refunding/returning payment,206,18,0.701299786567688
Are there any issues with registering an LLC in a foreign state?,207,15,0.560032069683075
"Challenged an apparently bogus credit card charge, what happens now?",208,20,0.7582401633262634
