	qapairs	context	context_id
0	"[{""answer"": ""Congress of the Confederation"", ""question"": ""What assembly made New York the national capital shortly after the war?""}, {""answer"": ""1785"", ""question"": ""When did the Congress of the Confederation make New York the national capital?""}, {""answer"": ""Articles of Confederation"", ""question"": ""What was New York the last capital of the U.S. under?""}, {""answer"": ""George Washington"", ""question"": ""Who was the first President of the United States?""}, {""answer"": ""1789"", ""question"": ""When was the first President of the United States inaugurated?""}, {""answer"": ""Philadelphia"", ""question"": ""What was the largest city in the United States by 1790?""}]"	In 1785, the assembly of the Congress of the Confederation made New York the national capital shortly after the war. New York was the last capital of the U.S. under the Articles of Confederation and the first capital under the Constitution of the United States. In 1789, the first President of the United States, George Washington, was inaugurated; the first United States Congress and the Supreme Court of the United States each assembled for the first time, and the United States Bill of Rights was drafted, all at Federal Hall on Wall Street. By 1790, New York had surpassed Philadelphia as the largest city in the United States.	3196
1	"[{""answer"": ""Donald Trump"", ""question"": ""Who defended New York in 2016?""}, {""answer"": ""1955"", ""question"": ""When was the National Review published?""}, {""answer"": ""William F. Buckley, Jr"", ""question"": ""Who founded the National Review?""}, {""answer"": ""weeks"", ""question"": ""How many weeks after 9/11 was New York America?""}]"	"When one Republican presidential candidate for the 2016 election ridiculed the liberalism of ""New York values"" in January 2016, Donald Trump, leading in the polls, vigorously defended his city. The National Review, a conservative magazine published in the city since its founding by William F. Buckley, Jr. in 1955, commented, ""By hearkening back to New York's heart after 9/11, for a moment Trump transcended politics. How easily we forget, but for weeks after the terror attacks, New York was America."""	3280
2	"[{""answer"": ""35,000"", ""question"": ""How many officers have been sworn by the NYPD?""}, {""answer"": ""New York's Finest"", ""question"": ""What is the name of the NYPD's police cars?""}]"	The New York City Police Department (NYPD) has been the largest police force in the United States by a significant margin, with over 35,000 sworn officers. Members of the NYPD are frequently referred to by politicians, the media, and their own police cars by the nickname, New York's Finest.	3629
3	"[{""answer"": ""four-year terms"", ""question"": ""How long are the Mayor and council members elected?""}, {""answer"": ""51"", ""question"": ""How many council members are in the City Council?""}, {""answer"": ""four years"", ""question"": ""How long does each term for the mayor and council members last?""}, {""answer"": ""The New York City Administrative Code, the New York City Rules, and the City Record"", ""question"": ""What are the codes of local laws, compilation of regulations, and official journal?""}]"	The Mayor and council members are elected to four-year terms. The City Council is a unicameral body consisting of 51 council members whose districts are defined by geographic population boundaries. Each term for the mayor and council members lasts four years and has a three consecutive-term limit, but can resume after a four-year break. The New York City Administrative Code, the New York City Rules, and the City Record are the code of local laws, compilation of regulations, and official journal, respectively.	3794
4	"[{""answer"": ""The Democratic Party"", ""question"": ""Who holds the majority of public offices in New York City?""}, {""answer"": ""67%"", ""question"": ""What percentage of registered voters in New York City are Democrats?""}, {""answer"": ""1924"", ""question"": ""When did Calvin Coolidge win the five boroughs?""}, {""answer"": ""Barack Obama"", ""question"": ""Who became the first presidential candidate of any party to receive more than 80% of the overall vote in New York City?""}, {""answer"": ""affordable housing, education, and economic development, and labor politics"", ""question"": ""What are the main areas of New York City's political platforms?""}]"	The Democratic Party holds the majority of public offices. As of November 2008, 67% of registered voters in the city are Democrats. New York City has not been carried by a Republican in a statewide or presidential election since President Calvin Coolidge won the five boroughs in 1924. In 2012, Democrat Barack Obama became the first presidential candidate of any party to receive more than 80% of the overall vote in New York City, sweeping all five boroughs. Party platforms center on affordable housing, education, and economic development, and labor politics are of importance in the city.	3801
5	"[{""answer"": ""Massachusetts v. Environmental Protection Agency"", ""question"": ""In what case did the EPA regulate greenhouse gases as pollutants?""}, {""answer"": ""Hearst Tower"", ""question"": ""What is the name of the green office building in the city?""}, {""answer"": ""80%"", ""question"": ""How much has de Blasio committed to reducing greenhouse gas emissions between 2014 and 2050?""}]"	"The city government was a petitioner in the landmark Massachusetts v. Environmental Protection Agency Supreme Court case forcing the EPA to regulate greenhouse gases as pollutants. The city is also a leader in the construction of energy-efficient green office buildings, including the Hearst Tower among others. Mayor Bill de Blasio has committed to an 80% reduction in greenhouse gas emissions between 2014 and 2050 to reduce the city's contributions to climate change, beginning with a comprehensive ""Green Buildings"" plan."	3871
6	"[{""answer"": ""New York Supreme Court"", ""question"": ""Which borough conducts major trials and appeals?""}, {""answer"": ""Criminal Court and the Civil Court"", ""question"": ""What are the local courts in each borough?""}, {""answer"": ""Manhattan"", ""question"": ""Where is the First Department of the Supreme Court located?""}, {""answer"": ""executive agencies"", ""question"": ""What are the extrajudicial administrative courts?""}]"	Each borough is coextensive with a judicial district of the state Unified Court System, of which the Criminal Court and the Civil Court are the local courts, while the New York Supreme Court conducts major trials and appeals. Manhattan hosts the First Department of the Supreme Court, Appellate Division while Brooklyn hosts the Second Department. There are also several extrajudicial administrative courts, which are executive agencies and not part of the state Unified Court System.	3879
7	"[{""answer"": ""Manhattan"", ""question"": ""Where are the top five ZIP codes in the US for political contributions?""}, {""answer"": ""10021"", ""question"": ""What is the top ZIP code on the Upper East Side?""}, {""answer"": ""a strong imbalance of payments with the national and state governments"", ""question"": ""What does New York have?""}, {""answer"": ""83 cents"", ""question"": ""How much money does New York receive in services for every $1 it sends to the federal government in taxes?""}, {""answer"": ""$11 billion"", ""question"": ""How much more money does New York send each year to the state of New York than it receives back?""}]"	New York is the most important source of political fundraising in the United States, as four of the top five ZIP codes in the nation for political contributions are in Manhattan. The top ZIP code, 10021 on the Upper East Side, generated the most money for the 2004 presidential campaigns of George W. Bush and John Kerry. The city has a strong imbalance of payments with the national and state governments. It receives 83 cents in services for every $1 it sends to the federal government in taxes (or annually sends $11.4 billion more than it receives back). The city also sends an additional $11 billion more each year to the state of New York than it receives back.	3887
8	"[{""answer"": ""Atticus Finch"", ""question"": ""Who's model of integrity for the legal profession is one of the most significant impacts To Kill a Mockingbird has had?""}, {""answer"": ""Alice Petry"", ""question"": ""Who explains that Atticus has become something of a folk hero in legal circles?""}, {""answer"": ""Richard Matsch"", ""question"": ""Who presided over the Timothy McVeigh trial?""}, {""answer"": ""University of Notre Dame"", ""question"": ""At what university did a law professor teach To Kill a Mockingbird?""}]"	"One of the most significant impacts To Kill a Mockingbird has had is Atticus Finch's model of integrity for the legal profession. As scholar Alice Petry explains, ""Atticus has become something of a folk hero in legal circles and is treated almost as if he were an actual person."" Morris Dees of the Southern Poverty Law Center cites Atticus Finch as the reason he became a lawyer, and Richard Matsch, the federal judge who presided over the Timothy McVeigh trial, counts Atticus as a major judicial influence. One law professor at the University of Notre Dame stated that the most influential textbook he taught from was To Kill a Mockingbird, and an article in the Michigan Law Review claims, ""No real-life lawyer has done more for the self-image or public perception of the legal profession,"" before questioning whether, ""Atticus Finch is a paragon of honor or an especially slick hired gun""."	4034
9	"[{""answer"": ""Arnold Schwarzenegger"", ""question"": ""Who signed the Donda West Law?""}, {""answer"": ""Donda West Law"", ""question"": ""What law does Arnold Schwarzenegger sign?""}]"	"California governor Arnold Schwarzenegger signed the ""Donda West Law"", legislation which makes it mandatory for patients to provide medical clearance for elective cosmetic surgery."	4732
